Supporting Information for "Machine Learning from Heteroscedastic Data: Second Virial Coefficients of Alkane Isomers"
Authors: Arpit Bansal, Andrew J. Schultz, David A. Kofke and Johannes Hachmann
Journal of Physical Chemistry B (2022)


Shape Descriptors generated using Monte Carlo simulations in Etomica. 
Shape descriptors computed are:
- Squared Radius of Gyration (Angstrom^6)
- Asphericity (Angstrom^6)
- Acylindricity (Angstrom^6)
- Anisotropy
- Along with standard deviation (SD) in the above quantities

These simulations are carried out in Etomica using etomica.virial.simulations.VirialSingleAlkane class available at https://github.com/etomica/etomica/tree/677f479ba8b41515cea06e873d3f2a82c0259e27

SMILES	Squared_Radius_Gyration	SD_Squared_Radius_Gyration	Asphericity	SD_Asphericity	Acylindricity	SD_Acylindricity	Anisotropy	SD_Anisotropy
CCCC(C(C)(C)C)CC 	8.149293	0.2179966	0.3344439	0.03730326	0.179373	0.02616204	0.137899	0.01945648
CCC(C(C)(C)C)C(C)C 	7.408342	0.1246108	0.2236185	0.04367861	0.147497	0.03637804	0.0692004	0.0145301
CCCCC(C(C)(C)C)C 	9.223929	0.5069594	0.5546908	0.05118522	0.06342038	0.01960427	0.3136107	0.05412987
CC(CC(C(C)(C)C)C)C 	8.345196	0.2118268	0.4674086	0.02182933	0.04446116	0.02279186	0.2208095	0.01946935
CCCC(C(C)(C)C)(C)C 	7.788438	0.206113	0.3874893	0.03639973	0.05191639	0.01775739	0.1537287	0.02638774
CC(C(C(C)(C)C)(C)C)C 	6.932186	0.1438265	0.2387277	0.04066416	0.05228662	0.02492031	0.06115289	0.0202983
CCCCCC(CC)CC 	10.51071	0.7594488	0.578229	0.07618696	0.1207983	0.03705388	0.3520917	0.08053987
CCC(CCC(C)C)CC 	9.618227	0.4557302	0.5099122	0.0634327	0.1372689	0.04521172	0.2797071	0.05749322
CCCC(C(CC)CC)C 	8.749864	0.4012946	0.3869737	0.06556546	0.1099123	0.04008197	0.1643283	0.04988987
CCC(C(C(C)C)C)CC 	8.063271	0.2463446	0.3089121	0.05548764	0.1178332	0.04874982	0.1107037	0.0333657
CCCC(CC)(CC)CC 	7.971579	0.174609	0.2652496	0.03929805	0.1167521	0.06737578	0.08554331	0.02697303
CCC(C(C)C)(CC)CC 	7.243633	0.1211445	0.1495827	0.03109272	0.1090652	0.06233285	0.03511497	0.01241767
CCCCCC(CC)(C)C 	9.976672	0.6746739	0.5856877	0.06231771	0.06068514	0.02364493	0.3501272	0.0711893
CCC(CCC(C)C)(C)C 	9.001208	0.3911784	0.5079542	0.04975956	0.06865941	0.03028618	0.2647215	0.05056916
CCCC(C(CC)(C)C)C 	8.345817	0.345188	0.4178531	0.06278665	0.09099044	0.04198368	0.1860983	0.05153468
CCC(C(C(C)C)C)(C)C 	7.577653	0.1846068	0.3561787	0.04418265	0.04867041	0.02737429	0.1311648	0.03098915
CCCCC(CC)(CC)C 	8.862338	0.351954	0.4545068	0.06300728	0.0994327	0.03695982	0.2189989	0.05223365
CCC(CC(C)C)(CC)C 	8.006501	0.1868582	0.3448644	0.05593031	0.1203572	0.04743007	0.1346373	0.03393225
CCC(CC(CC)CC)C 	8.893075	0.3832804	0.4186622	0.06754688	0.1198976	0.05462631	0.192875	0.05292195
CCC(C(CC)CC)CC 	8.152128	0.2658922	0.2357877	0.08257632	0.1108592	0.06207404	0.07454302	0.04572113
CCC(C(CC)(C)C)CC 	7.79516	0.2233639	0.319591	0.05647969	0.122331	0.03657599	0.1175787	0.03406478
CCC(CC(CC)(C)C)C 	8.362427	0.3674299	0.4237501	0.0713779	0.09475449	0.04380322	0.1928114	0.05802342
CCC(C(CC)(C)C)(C)C 	7.453419	0.1987544	0.3395182	0.06719084	0.05896529	0.03162635	0.1231745	0.03992286
CCC(CCC(CC)C)C 	9.907248	0.647887	0.5642552	0.07041602	0.09491683	0.04481489	0.331538	0.07634565
CCC(CCC(C)(C)C)C 	9.38729	0.4787057	0.561827	0.05141005	0.06997478	0.02427388	0.3224151	0.05526462
CCC(CC(C)(C)C)CC 	8.227373	0.2376266	0.3654524	0.05766065	0.1620544	0.03942485	0.1577728	0.03307701
CCC(CC(C)(C)C)(C)C 	7.72791	0.2354578	0.3726609	0.04582757	0.06208591	0.02357004	0.1442726	0.03343448
CCC(C(C(CC)C)C)C 	8.449578	0.3206726	0.4411965	0.06475494	0.06292244	0.03087747	0.2025435	0.05418697
CCC(C(CC)(CC)C)C 	7.703634	0.1806467	0.3264317	0.05735719	0.1200598	0.02732744	0.1212325	0.03207957
CCC(C(C(C)(C)C)C)C 	7.702443	0.2022677	0.3647292	0.03147276	0.05355689	0.02895044	0.1368048	0.02147347
CCC(C(C)(C)C)(CC)C 	7.095492	0.1268876	0.2087119	0.03389831	0.1088316	0.02466008	0.05401861	0.01302131
CC(CCC(C)(C)C)(C)C 	8.695559	0.2194883	0.5178385	0.01468139	0.01242482	0.006134917	0.2685173	0.01521516
CC(C(C)(C)C)C(C)(C)C 	7.170223	0.1560001	0.3047152	0.01611793	0.07911485	0.01181002	0.09790595	0.009744933
CCCCCCCCCCC 	15.63596	1.876978	0.7621108	0.09461268	0.05845318	0.04717346	0.5939997	0.1272548
CCCCCCCCC(C)C 	14.71033	1.604867	0.7537157	0.08062211	0.04921578	0.03547711	0.5773495	0.1097639
CCCCCCC(CCC)C 	13.29664	1.350918	0.6685977	0.09433698	0.08910328	0.04896432	0.4636784	0.11485
CCCCCCC(C(C)C)C 	12.52209	1.04576	0.683053	0.06677161	0.05130074	0.02865603	0.4736089	0.08548093
CCCCCC(CCC)CC 	11.73604	0.8244922	0.531153	0.08814367	0.1660921	0.04914013	0.3123969	0.08228532
CCCCCC(C(C)C)CC 	10.95781	0.7208121	0.5399927	0.06471136	0.1151825	0.03238569	0.3065178	0.0652773
CCCCC(CCC)CCC 	11.01402	0.5008184	0.3634529	0.07922781	0.2721441	0.05410035	0.1961192	0.0421415
CCCCC(C(C)C)CCC 	10.25564	0.5023837	0.3654063	0.0698948	0.2356204	0.04645409	0.1816647	0.04285184
CC(CCCCCC(C)C)C 	13.50828	1.354565	0.7269467	0.0689095	0.04394542	0.0246883	0.5351071	0.0942485
CCCC(CCCC(C)C)C 	12.34442	1.065438	0.6463878	0.08389324	0.08546987	0.04513973	0.4318637	0.1008881
CC(CCCC(C(C)C)C)C 	11.48644	0.7210426	0.6361186	0.05344648	0.05424645	0.0254157	0.4101959	0.0657244
CCCC(CCC(C)C)CC 	10.81155	0.5482381	0.481443	0.07675152	0.175431	0.05437548	0.2629798	0.06162827
CCC(C(C)C)CCC(C)C 	9.920502	0.413063	0.4498278	0.04729117	0.1475269	0.03829304	0.2220052	0.03927413
CCCC(CC(C)C)CCC 	10.1582	0.3691176	0.3054438	0.05828988	0.264082	0.04920247	0.1508134	0.02544387
CCCC(C(C)C)CC(C)C 	9.448088	0.3385462	0.288225	0.06626979	0.2070252	0.0460695	0.1212022	0.0326063
CCCCC(C(C)C)C(C)C 	9.579028	0.3956846	0.3928971	0.05231992	0.1374897	0.03886973	0.1724153	0.03638878
CCCCCC(CCC)(C)C 	11.27402	0.8354931	0.5579624	0.09383707	0.1090086	0.04562348	0.3306031	0.09654881
CCCCCC(C(C)C)(C)C 	10.57436	0.6091587	0.5769366	0.05619431	0.04779767	0.02053421	0.3380417	0.0626207
CCCCCC(CCCC)C 	12.92271	1.238502	0.6309133	0.113392	0.115188	0.06368701	0.4239045	0.1261869
CCCCCC(CC(C)C)C 	12.053	1.100922	0.6236409	0.09650747	0.08050428	0.04417562	0.4045658	0.1099486
CCCC(CC(CCC)C)C 	10.91039	0.8161531	0.5299426	0.1011483	0.09479638	0.05607562	0.3001597	0.09699273
CCCC(CC(C(C)C)C)C 	10.14551	0.5979457	0.5159208	0.07544849	0.06583668	0.04093026	0.2763761	0.07174917
CCCC(C(CCC)C)CC 	9.935917	0.5238341	0.3887045	0.1134745	0.1588549	0.05236074	0.1849542	0.08377291
CCCC(C(C(C)C)CC)C 	9.145407	0.341341	0.3505006	0.05933137	0.09731533	0.04060109	0.1347099	0.04046833
CCCC(CCC)(CCC)C 	9.713107	0.2622285	0.277521	0.05046601	0.2175144	0.04153444	0.1163423	0.02307371
CCCC(C(C)C)(CCC)C 	8.965086	0.221681	0.2460813	0.0515163	0.2005768	0.05015362	0.09527099	0.01954265
CC(C(C)C)CC(C(C)C)C 	9.391334	0.3361864	0.4832661	0.04555583	0.05635349	0.02968996	0.2386646	0.04164566
CCCC(C(C(C)C)C)CC 	9.208009	0.3693374	0.3371428	0.08972096	0.1739976	0.04450232	0.1459094	0.054535
CCC(C(C(C)C)C)C(C)C 	8.447401	0.2345521	0.2882015	0.05033731	0.09747232	0.03133564	0.09345619	0.02712055
CCCC(C(C)C)(C(C)C)C 	8.225447	0.175746	0.2018384	0.03917153	0.1579274	0.03394154	0.0618436	0.01531842
CCCC(C(CCC)(C)C)C 	9.684345	0.4346106	0.4759355	0.0878574	0.07575966	0.05035627	0.2404411	0.07332496
CCCC(C(C(C)C)(C)C)C 	9.131695	0.3559053	0.4809153	0.05701108	0.03921434	0.02444779	0.2361324	0.04959094
CCCCC(C(CCC)C)C 	11.08167	0.8149404	0.5414946	0.1196848	0.110366	0.05829067	0.3192289	0.1155846
CCCC(C(CC(C)C)C)C 	9.74603	0.5403751	0.4061113	0.08781859	0.128835	0.04410365	0.1865482	0.07033838
CCCCCCC(CC)CC 	12.50128	1.060018	0.6447706	0.07253296	0.08775566	0.03129798	0.4274988	0.08711431
CCC(CCCC(C)C)CC 	11.33857	0.7367092	0.5871395	0.05913804	0.1075913	0.03721944	0.357952	0.06493184
CCCC(CC(CC)CC)C 	10.23783	0.5764377	0.4644132	0.08075095	0.09491816	0.05176456	0.2309667	0.07191909
CCC(CC(C(C)C)C)CC 	9.42631	0.3400166	0.4257999	0.05093332	0.1017211	0.03300681	0.1924772	0.04139694
CCCC(C(CC)CC)CC 	9.257812	0.3014411	0.2786961	0.06825599	0.1361486	0.07788435	0.1007838	0.04562648
CCC(C(CC)CC)C(C)C 	8.542562	0.1936852	0.2263443	0.05143441	0.08263598	0.0406614	0.06023924	0.02518832
CCCC(CCC)(CC)CC 	9.052616	0.2320451	0.266718	0.07369025	0.1066552	0.06598512	0.08836719	0.0363046
CCCC(C(C)C)(CC)CC 	8.307871	0.1608672	0.2125314	0.05248555	0.1112442	0.04881186	0.05899305	0.02536577
